population,state,region,coast
4858979,Alabama,East South Central,South
738432,Alaska,Pacific,West
6828065,Arizona,Mountain,West,
2978204,Arkansas,West South Central,South
39144818,California,Pacific,West
5456574,Colorado,Mountain,West
3590886,Connecticut,New England,Northeast
945934,Delaware,South Atlantic,South
672228,District of Columbia,South Atlantic,South
20271272,Florida,South Atlantic,South
10214860,,Georgia,South Atlantic,South
1431603,Hawaii,Pacific,West
1654930,Idaho,Mountain,West
12859995,Illinois,East North Central,Midwest
6619680,Indiana,East North Central,Midwest
3123899,Iowa,West North Central,Midwest
2911641,Kansas,West North Central,Midwest
4425092,Kentucky,East South Central,South
4670724,Louisiana,West South Central,South
1329328,Maine,New England,Northeast
6006401,Maryland,South Atlantic,South
6794422,Massachusetts,New England,Northeast
9922576,Michigan,East North Central,Midwest
5489594,Minnesota,West North Central,Midwest
2992333,Mississippi,East South Central,South
6083672,Missouri,West North Central,Midwest
1032949,Montana,Mountain,West
1896190,Nebraska,West North Central,Midwest
2890845,Nevada,Mountain,West
1330608,New Hampshire,New England,Northeast
8958013,New Jersey,Middle Atlantic,Northeast
2085109,New Mexico,Mountain,West
19795791,New York,Middle Atlantic,Northeast
10042802,North Carolina,South Atlantic,South
756927,North Dakota,West North Central,Midwest
11613423,Ohio,East North Central,Midwest
3911338,Oklahoma,West South Central,South
4028977,Oregon,Pacific,West
12802503,Pennsylvania,Middle Atlantic,Northeast
1056298,Rhode Island,New England,Northeast
4896146,South Carolina,South Atlantic,South
858469,South Dakota,West North Central,Midwest
6600299,Tennessee,East South Central,South
27469114,Texas,West South Central,South
2995919,Utah,Mountain,West
626042,Vermont,New England,Northeast
8382993,Virginia,South Atlantic,South
7170351,Washington,Pacific,West
1844128,West Virginia,South Atlantic,South
5771337,Wisconsin,East North Central,Midwest
586107,Wyoming,Mountain,West